Vocals, Drums, Claps, Zero-Crossing, Centroid, Roll Off, Flux
1,0,1,0.043631,0.037446,0.060838,0.100042
1,0,1,0.055354,0.059870,0.116176,0.095424
1,0,1,0.070312,0.059363,0.103401,0.102422
1,0,1,0.046837,0.035422,0.077894,0.103713
1,0,0,0.061250,0.091541,0.160493,0.079085
1,1,0,0.044261,0.034350,0.078068,0.100842
1,1,1,0.050024,0.043415,0.072880,0.101618
1,1,1,0.061999,0.053549,0.091076,0.102187
1,0,0,0.052178,0.038149,0.084891,0.097113
1,1,0,0.040367,0.034595,0.062612,0.095260
1,1,0,0.027435,0.049119,0.084400,0.079443
1,1,0,0.033639,0.035977,0.090482,0.084443
1,0,0,0.048143,0.037083,0.063813,0.096560
1,0,1,0.054049,0.043695,0.074886,0.095310
1,0,1,0.056440,0.050244,0.089747,0.098982
1,0,1,0.044655,0.037399,0.075250,0.096983
1,1,1,0.014188,0.010406,0.146099,0.119558
1,0,1,0.069936,0.061373,0.106113,0.098141
1,1,1,0.032444,0.027858,0.038449,0.108267
1,0,1,0.035249,0.029950,0.042603,0.101005
1,0,1,0.033007,0.027341,0.040204,0.089268
1,1,1,0.085886,0.066315,0.138517,0.106110
1,0,1,0.050464,0.041780,0.093931,0.099855
1,0,0,0.081698,0.070824,0.109502,0.105675
1,1,1,0.054805,0.050649,0.084221,0.108478
1,1,0,0.168545,0.136532,0.295557,0.097362
1,0,1,0.036310,0.031292,0.047020,0.106873
1,0,0,0.055388,0.050384,0.092463,0.110979
1,0,1,0.045648,0.034805,0.055312,0.095948
1,1,1,0.058761,0.051415,0.088686,0.098566
1,1,1,0.091001,0.069625,0.169480,0.107096
1,0,1,0.047242,0.041083,0.060664,0.100320
1,0,0,0.029439,0.023890,0.105348,0.092608
1,0,1,0.018239,0.029373,0.064726,0.085744
1,0,1,0.043713,0.040207,0.053680,0.095253
1,0,1,0.076893,0.063892,0.123415,0.098131
1,0,0,0.043853,0.038834,0.055537,0.097243
1,0,1,0.033258,0.026919,0.040151,0.101377
1,0,1,0.026429,0.022911,0.098572,0.110966
1,1,1,0.048867,0.042516,0.061572,0.101588
1,0,0,0.079461,0.068166,0.145483,0.100699
1,1,0,0.062378,0.048876,0.105293,0.095782
1,1,1,0.043045,0.031820,0.046459,0.109819
1,0,1,0.025957,0.021846,0.046469,0.103644
1,0,1,0.082346,0.065108,0.130468,0.100154
1,1,0,0.026941,0.016334,0.125796,0.100933
1,0,0,0.034203,0.029729,0.049111,0.098547
1,1,0,0.095564,0.078780,0.163340,0.102916
1,1,0,0.031416,0.025572,0.200220,0.107932
1,0,1,0.058985,0.046374,0.081077,0.097010
1,0,1,0.054290,0.042107,0.087627,0.102912
1,0,1,0.041837,0.035739,0.061298,0.099941
1,0,1,0.083517,0.073026,0.141115,0.101439
